"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
Cynodon,cypress,citratus,lemongrass,Nitella,Chinese Gooseberry,,,,,,,,gossypii
dactylon,Cupressus,lemongrass,Cynodon,Nitzschia,Actinidia deliciosa,,,,,,,,Ascochyta
common,sempervirons,Cynodon,dactylon,Nostoc,Actinidia,,,,,,,,lentis
Bermudagrass,Italian,dactylon,common,Oedogonium,Actinidiaceae,,,,,,,,Ascochyta
Cynodon,cypress,common,Bermudagrass,Oocystis,Kiwi,,,,,,,,pisi
dactylon,Cymbopogon,Bermudagrass,Cynodon,Oscillatoria,Citron,,,,,,,,Ascochyta
giant,citratus,Cynodon,dactylon,Pandorina,Citrus medica,,,,,,,,rabiei
Bermudagrass,lemongrass,dactylon,giant,Parallela,Citrus,,,,,,,,Ascochyta
Cynodon,Cynodon,giant,Bermudagrass,Pediastrum,Rutaceae,,,,,,,,sorghi
nlemfuensis,dactylon,Bermudagrass,Cynodon,Peridinium,Citrus fruit,,,,,,,,Ascochyta
cv,common,Cynodon,nlemfuensis,Phacus,Clementine,,,,,,,,tritici
Florico,Bermudagrass,nlemfuensis,cv,Phormidium,Citrus,,,,,,,,Aspergillus
Puerto,Cynodon,cv,Florico,Pinnularia,clementina,,,,,,,,flavus
Rican,dactylon,Florico,Puerto,Placoma,Citrus,,,,,,,,Aspergillus
stargrass,giant,Puerto,Rican,Planothidium,Rutaceae,,,,,,,,niger
Cyperus,Bermudagrass,Rican,stargrass,Pleurotaenium,Citrus fruit,,,,,,,,Aspergillus
javanicus,Cynodon,stargrass,Cyperus,Polyedriopsis,Coconut,,,,,,,,parasiticus
ahu,nlemfuensis,Cyperus,javanicus,Pseudanabaena,Cocos nucifera,,,,,,,,Aspergillus
awa,cv,javanicus,ahu,Quadrigula,Cocos,,,,,,,,tamarii
marsh,Florico,ahu,awa,Iron bacteria (eg Leptothrix),Arecaceae,,,,,,,,Asperisporium
cypress,Puerto,awa,marsh,Rhizoclonium,Arecaceae,,,,,,,,caricae
Cyperus,Rican,marsh,cypress,Rhoicosphenia cf curvata,Crab apple,,,,,,,,Aureobasidium
polystachyos,stargrass,cypress,Cyperus,Rhopalodia,Malus sylvestris,,,,,,,,apocryptum
Dactylis,Cyperus,Cyperus,polystachyos,Rivularia,Malus,,,,,,,,Aureobasidium
glomerata,javanicus,polystachyos,Dactylis,Scenedesmus,Rosaceae,,,,,,,,microstictum
orchardgrass,ahu,Dactylis,glomerata,Schizochlamys,Rose,,,,,,,,Aureobasidium
Desmodium,awa,glomerata,orchardgrass,Schizothrix,Cranberry,,,,,,,,pullulans
heterophyllum,marsh,orchardgrass,Desmodium,Scytonema,Vaccinium,,,,,,,,Beauveria
hetero,cypress,Desmodium,heterophyllum,Selenastrum,Vaccinium,,,,,,,,bassiana
Desmodium,Cyperus,heterophyllum,hetero,Sellaphora,Ericaceae,,,,,,,,Bifusella
intortum,polystachyos,hetero,Desmodium,Sirogonium,Heath,,,,,,,,linearis
or,Dactylis,Desmodium,intortum,Spirogyra,Crenshaw,,,,,,,,Bifusella
Desmodium,glomerata,intortum,or,Spirulina/Arthrospira,Cucumis melo,,,,,,,,saccata
aparines,orchardgrass,or,Desmodium,Spondylosium,Cucumis,,,,,,,,Bipolaris
intortum,Desmodium,Desmodium,aparines,Staurastrum,Cucurbitaceae,,,,,,,,incurvata
desmodium,heterophyllum,aparines,intortum,Staurodesmus,Gourd,,,,,,,,Bipolaris
Desmodium,hetero,intortum,desmodium,Stauroneis cf anceps,Date,,,,,,,,iridis
triflorum,Desmodium,desmodium,Desmodium,Staurosira,Phoenix dactylifera,,,,,,,,Bipolaris
threeflower,intortum,Desmodium,triflorum,Stichococcus,Phoenix,,,,,,,,maydis
beggarweed,or,triflorum,threeflower,Stigeoclonium,Arecaceae,,,,,,,,Bipolaris
Dichondra,Desmodium,threeflower,beggarweed,Stigonema,Palm,,,,,,,,sorokiniana
repens,aparines,beggarweed,Dichondra,Surirella,Dewberry,,,,,,,,Bipolaris
dichondra,intortum,Dichondra,repens,Synura,Rubus flagellaris,,,,,,,,spicifera
Digitaria,desmodium,repens,dichondra,Tabellaria flocculosa,northern dewberry,,,,,,,,Bipolaris
eriantha,Desmodium,dichondra,Digitaria,Tetraedron,Rubus trivialis,,,,,,,,victoriae
cv,triflorum,Digitaria,eriantha,Tetraspora-like colonies,southern dewberry,,,,,,,,Bipolaris
Pangola,threeflower,eriantha,cv,Tolypothrix,Rubus,,,,,,,,zeicola
digitgrass,beggarweed,cv,Pangola,Trachelomonas,Rosaceae,,,,,,,,Biscogniauxia
Digitaria,Dichondra,Pangola,digitgrass,Tribonema,Rose,,,,,,,,atropunctata
eriantha,repens,digitgrass,Digitaria,Ulnaria,Dragon fruit,,,,,,,,Bjerkandera
cv,dichondra,Digitaria,eriantha,Ulothrix zonata,Hylocereus undatus,,,,,,,,adusta
Transvala,Digitaria,eriantha,cv,Ulva (ex Enteromorpha),Hylocereus,,,,,,,,Blumeria
digitgrass,eriantha,cv,Transvala,Vaucheria,Cactaceae,,,,,,,,graminis
Dimorphotheca,cv,Transvala,digitgrass,Volvox,Cactus,,,,,,,,Blumeria
sinuata,Pangola,digitgrass,Dimorphotheca,Westella-like colonies,Eggplant,,,,,,,,jaapii
cape,digitgrass,Dimorphotheca,sinuata,Sphaerotilus,Aubergine,,,,,,,,Blumeriella
marigold,Digitaria,sinuata,cape,Wilmottia,Brinjal,,,,,,,,jaapii
Dodonaea,eriantha,cape,marigold,Xanthidium,Solanum melongena,,,,,,,,Botryosphaeria
viscosa,cv,marigold,Dodonaea,Xenococcus,Solanum,,,,,,,,dothidea
a,Transvala,Dodonaea,viscosa,Zygnema,Solanaceae,,,,,,,,Botryosphaeria
ali,digitgrass,viscosa,a,,Nightshade,,,,,,,,obtusa
i,Dimorphotheca,a,ali,,Elderberry,,,,,,,,Botryosphaeria
lampuye,sinuata,ali,i,,Sambucus,,,,,,,,rhodina
Dracaena,cape,i,lampuye,,Sambucus,,,,,,,,Botryosphaeria
fragans,marigold,lampuye,Dracaena,,Adoxaceae,,,,,,,,ribis
dracaena,Dodonaea,Dracaena,fragans,,Moschatel,,,,,,,,Botryosphaeria
Echinochloa,viscosa,fragans,dracaena,,Feijoa,,,,,,,,stevensii
colona,a,dracaena,Echinochloa,,Acca sellowiana,,,,,,,,Botrytis
jungle,ali,Echinochloa,colona,,Acca,,,,,,,,allii
rice,i,colona,jungle,,Myrtaceae,,,,,,,,Botrytis
Echinochloa,lampuye,jungle,rice,,Myrtle,,,,,,,,cinerea
crusgalli,Dracaena,rice,Echinochloa,,Fig,,,,,,,,Botrytis
barnyardgrass,fragans,Echinochloa,crusgalli,,Ficus carica,,,,,,,,convoluta
Eleocharis,dracaena,crusgalli,barnyardgrass,,Ficus,,,,,,,,Botrytis
geniculata,Echinochloa,barnyardgrass,Eleocharis,,Moraceae,,,,,,,,elliptica
spike,colona,Eleocharis,geniculata,,Mulberry,,,,,,,,Botrytis
rush,jungle,geniculata,spike,,Goji berry,,,,,,,,squamosa
Eragrostis,rice,spike,rush,,Lycium barbarum,,,,,,,,Botrytis
variabilis,Echinochloa,rush,Eragrostis,,Lycium chinense,,,,,,,,tulipae
emoloa,crusgalli,Eragrostis,variabilis,,Solanaceae,,,,,,,,Bremia
kawelu,barnyardgrass,variabilis,emoloa,,Nightshade,,,,,,,,lactucae
lovegrass,Eleocharis,emoloa,kawelu,,Nightshade,,,,,,,,Bretziella
Eremochloa,geniculata,kawelu,lovegrass,,Golden berry,,,,,,,,fagacearum
ophiuroides,spike,lovegrass,Eremochloa,,Goldenberry,,,,,,,,Caloscypha
centipedegrass,rush,Eremochloa,ophiuroides,,Physalis peruviana,,,,,,,,fulgens
Erythrina,Eragrostis,ophiuroides,centipedegrass,,Solanaceae,,,,,,,,Camarosporium
sandwicensis,variabilis,centipedegrass,Erythrina,,Nightshade,,,,,,,,celtidis
wiliwili,emoloa,Erythrina,sandwicensis,,Nightshade,,,,,,,,Cantharellus
Erythrina,kawelu,sandwicensis,wiliwili,,Gooseberry,,,,,,,,cibarius
variegata,lovegrass,wiliwili,Erythrina,,Ribes uvacrispa,,,,,,,,Capnodium
cv,Eremochloa,Erythrina,variegata,,Ribes,,,,,,,,citri
Tropic,ophiuroides,variegata,cv,,Saxifragaceae,,,,,,,,Cenangium
Coral,centipedegrass,cv,Tropic,,Saxifrage,,,,,,,,alpinum
tall,Erythrina,Tropic,Coral,,Grape,,,,,,,,Cenangium
erythrina,sandwicensis,Coral,tall,,Vitis vinifera,,,,,,,,ferruginosum
Eucalyptus,wiliwili,tall,erythrina,,Vitis,,,,,,,,Cenangium
camaldulensis,Erythrina,erythrina,Eucalyptus,,Vitaceae,,,,,,,,singulare
riverredgum,variegata,Eucalyptus,camaldulensis,,Grape,,,,,,,,Cephalosporium
eucalyptus,cv,camaldulensis,riverredgum,,Grapefruit,,,,,,,,gramineum
Eucalyptus,Tropic,riverredgum,eucalyptus,,Citrus,,,,,,,,Ceratobasidium
dunnii,Coral,eucalyptus,Eucalyptus,,paradisi,,,,,,,,cereale
Dunn,tall,Eucalyptus,dunnii,,Citrus,,,,,,,,Ceratobasidium
s,erythrina,dunnii,Dunn,,Rutaceae,,,,,,,,stevensii
eucalyptus,Eucalyptus,Dunn,s,,Citrus fruit,,,,,,,,Ceratocystis
Eucalyptus,camaldulensis,s,eucalyptus,,Guava,,,,,,,,fimbriata
robusta,riverredgum,eucalyptus,Eucalyptus,,Psidium guajava,,,,,,,,Ceratocystis
swamp,eucalyptus,Eucalyptus,robusta,,Psidium,,,,,,,,paradoxa
mahogany,Eucalyptus,robusta,swamp,,Myrtaceae,,,,,,,,Cercospora
Eucalyptus,dunnii,swamp,mahogany,,Myrtle,,,,,,,,apii
torreliana,Dunn,mahogany,Eucalyptus,,Honeydew Melon,,,,,,,,Cercospora
cadaga,s,Eucalyptus,torreliana,,Cucumis melo,,,,,,,,arachidicola
Fagopyrum,eucalyptus,torreliana,cadaga,,Cucumis,,,,,,,,Cercospora
esculentum,Eucalyptus,cadaga,Fagopyrum,,Cucurbitaceae,,,,,,,,asparagi
buckwheat,robusta,Fagopyrum,esculentum,,Gourd,,,,,,,,Cercospora
Filicium,swamp,esculentum,buckwheat,,Huckleberry,,,,,,,,beticola
decipiens,mahogany,buckwheat,Filicium,,Vaccinium membranaceum,,,,,,,,Cercospora
ferntree,Eucalyptus,Filicium,decipiens,,Vaccinium,,,,,,,,brassicicola
Fimbristylis,torreliana,decipiens,ferntree,,Ericaceae,,,,,,,,Cercospora
littoralis,cadaga,ferntree,Fimbristylis,,Heath,,,,,,,,canescens
Flueggea,Fagopyrum,Fimbristylis,littoralis,,Kiwifruit,,,,,,,,Cercospora
flexuosa,esculentum,littoralis,Flueggea,,Actinidia deliciosa,,,,,,,,capsici
poumuli,buckwheat,Flueggea,flexuosa,,Actinidia,,,,,,,,Cercospora
Fragaria,Filicium,flexuosa,poumuli,,Actinidiaceae,,,,,,,,carotae
chiloensis,decipiens,poumuli,Fragaria,,Kiwi,,,,,,,,Cercospora
ohelo,ferntree,Fragaria,chiloensis,,Kumquat,,,,,,,,citrullina
papa,Fimbristylis,chiloensis,ohelo,,Fortunella,,,,,,,,Cercospora
Gliricidia,littoralis,ohelo,papa,,Citrus,,,,,,,,hydrangeae
sepium,Flueggea,papa,Gliricidia,,Rutaceae,,,,,,,,Cercospora
gliricidia,flexuosa,Gliricidia,sepium,,Citrus fruit,,,,,,,,kikuchii
madra,poumuli,sepium,gliricidia,,Lemon,,,,,,,,Cercospora
de,Fragaria,gliricidia,madra,,Citrus,,,,,,,,longissima
cacao,chiloensis,madra,de,,limon,,,,,,,,Cercospora
Glycine,ohelo,de,cacao,,Citrus,,,,,,,,mangiferae
max,papa,cacao,Glycine,,Rutaceae,,,,,,,,Cercospora
soybean,Gliricidia,Glycine,max,,Citrus fruit,,,,,,,,medicaginis
Gossypium,sepium,max,soybean,,Lime,,,,,,,,Cercospora
tomentosum,gliricidia,soybean,Gossypium,,Citrus,,,,,,,,melongenae
ma,madra,Gossypium,tomentosum,,aurantiifolia,,,,,,,,Cercospora
o,de,tomentosum,ma,,Citrus,,,,,,,,muehlenbergiae
Hawaiian,cacao,ma,o,,Rutaceae,,,,,,,,Cercospora
cotton,Glycine,o,Hawaiian,,Citrus fruit,,,,,,,,nicotianae
Hemarthria,max,Hawaiian,cotton,,Loganberry,,,,,,,,Cercospora
altissima,soybean,cotton,Hemarthria,,Rubus,,,,,,,,rosicola
cv,Gossypium,Hemarthria,altissima,,loganobaccus,,,,,,,,Cercospora
Bigalta,tomentosum,altissima,cv,,Rubus,,,,,,,,seminalis
limpograss,ma,cv,Bigalta,,Rosaceae,,,,,,,,Cercospora
Hemerocallis,o,Bigalta,limpograss,,Rose,,,,,,,,sequoiae
aurantiaca,Hawaiian,limpograss,Hemerocallis,,Loquat,,,,,,,,var
day,cotton,Hemerocallis,aurantiaca,,Eriobotrya japonica,,,,,,,,.
lily,Hemarthria,aurantiaca,day,,Eriobotrya,,,,,,,,juniperiCercospora
Hetropogon,altissima,day,lily,,Rosaceae,,,,,,,,sojina
contortus,cv,lily,Hetropogon,,Rose,,,,,,,,Cercospora
piligrass,Bigalta,Hetropogon,contortus,,Lychee,,,,,,,,sorghi
tanglehead,limpograss,contortus,piligrass,,Litchi chinensis,,,,,,,,Cercospora
Hibiscus,Hemerocallis,piligrass,tanglehead,,Litchi,,,,,,,,zeae-maydis
arnottianus,aurantiaca,tanglehead,Hibiscus,,Sapindaceae,,,,,,,,Cercospora
var,day,Hibiscus,arnottianus,,Soapberry,,,,,,,,zebrina
punaluensis,lily,arnottianus,var,,Mandarin,,,,,,,,Cercospora
Oahu,Hetropogon,var,punaluensis,,Citrus reticulata,,,,,,,,zeina
white,contortus,punaluensis,Oahu,,Citrus,,,,,,,,Cercosporella
hibiscus,piligrass,Oahu,white,,Rutaceae,,,,,,,,rubi
Hibiscus,tanglehead,white,hibiscus,,Citrus fruit,,,,,,,,Cercosporidium
rosasinensis,Hibiscus,hibiscus,Hibiscus,,Mango,,,,,,,,graminis
hibiscus,arnottianus,Hibiscus,rosasinensis,,Mangifera indica,,,,,,,,Cerotelium
Chinese,var,rosasinensis,hibiscus,,Mangifera,,,,,,,,fici
aute,punaluensis,hibiscus,Chinese,,Anacardiaceae,,,,,,,,Cerrena
flores,Oahu,Chinese,aute,,Cashew,,,,,,,,unicolor
rosa,white,aute,flores,,Mulberry,,,,,,,,Choanephora
Intsia,hibiscus,flores,rosa,,Morus alba,,,,,,,,cucurbitarum
bijuga,Hibiscus,rosa,Intsia,,white mulberry,,,,,,,,Chondrostereum
ifit,rosasinensis,Intsia,bijuga,,Morus nigra,,,,,,,,purpureum
ifil,hibiscus,bijuga,ifit,,black mulberry,,,,,,,,Chrysomyxa
ipil,Chinese,ifit,ifil,,Ficus,,,,,,,,arctostaphyli
ifilele,aute,ifil,ipil,,Moraceae,,,,,,,,Chrysomyxa
dort,flores,ipil,ifilele,,Mulberry,,,,,,,,ledicola
choyo,rosa,ifilele,dort,,Muscadine grapes,,,,,,,,Chrysomyxa
kubok,Intsia,dort,choyo,,Vitis rotundifolia,,,,,,,,pyrolae
kuren,bijuga,choyo,kubok,,Vitis,,,,,,,,Chrysomyxa
Ipomea,ifit,kubok,kuren,,Vitaceae,,,,,,,,weirii
pescaprae,ifil,kuren,Ipomea,,Grape,,,,,,,,Ciborinia
pohuehue,ipil,Ipomea,pescaprae,,Muskmelon,,,,,,,,camelliae
beach,ifilele,pescaprae,pohuehue,,Cantaloupe,,,,,,,,Ciborinia
morning,dort,pohuehue,beach,,Cucumis melo,,,,,,,,foliicola
glory,choyo,beach,morning,, variety ,,,,,,,,Ciborinia
Ischaemum,kubok,morning,glory,,cantalupensis,,,,,,,,seaveri
polystachyum,kuren,glory,Ischaemum,,Cucumis,,,,,,,,Ciborinia
syn,Ipomea,Ischaemum,polystachyum,,Cucurbitaceae,,,,,,,,whetzelii
Ischaemum,pescaprae,polystachyum,syn,,Gourd,,,,,,,,Cladobotryum
digitatum,pohuehue,syn,Ischaemum,,Nectarine,,,,,,,,dendroides
Baron,beach,Ischaemum,digitatum,,Prunus persica variety nucipersica,,,,,,,,Cladosporium
s,morning,digitatum,Baron,,Prunus,,,,,,,,allii-cepae
grass,glory,Baron,s,,Rosaceae,,,,,,,,Cladosporium
paddlegrass,Ischaemum,s,grass,,Rose,,,,,,,,caryigenum
reh,polystachyum,grass,paddlegrass,,Olive,,,,,,,,Cladosporium
padil,syn,paddlegrass,reh,,Olea europaea,,,,,,,,cladosporioides
Jacquemontia,Ischaemum,reh,padil,,Olea,,,,,,,,Cladosporium
ovalifolia,digitatum,padil,Jacquemontia,,Oleaceae,,,,,,,,cucumerinum
subsp,Baron,Jacquemontia,ovalifolia,,Olive,,,,,,,,Cladosporium
sandwicensis,s,ovalifolia,subsp,,Orange,,,,,,,,herbarum
pa,grass,subsp,sandwicensis,,Citrus reticulata,,,,,,,,Cladosporium
uohi,paddlegrass,sandwicensis,pa,,Citrus,,,,,,,,iridis
iaka,reh,pa,uohi,,Rutaceae,,,,,,,,Cladosporium
Juncus,padil,uohi,iaka,,Citrus fruit,,,,,,,,oxycocci
effusus,Jacquemontia,iaka,Juncus,,Papaya,,,,,,,,Cladosporium
soft,ovalifolia,Juncus,effusus,,Carica papaya,,,,,,,,paeoniae
rush,subsp,effusus,soft,,Caricaceae,,,,,,,,Claviceps
Lablab,sandwicensis,soft,rush,,Caricaceae,,,,,,,,purpurea
purpureus,pa,rush,Lablab,,Papaya,,,,,,,,Claviceps
