Coccolba,tree,seedy,Coccolba,Botrydiopsis,Prunus,,,on,,on,,,lycopodina
uvifera,fern,tangerine,uvifera,Bracteacoccus,Rosaceae,,,carnivorous,,carnivorous,,,Alternaria
grape,Citrus,Coccolba,grape,Bulbochaete,Rose,,,carnivore,,carnivore,,,alternata
Cocos,lycopersicaeformis,uvifera,Cocos,Caloglossa,Avocado,,,predator,,predator,,,Alternaria
nucifera,heen,grape,nucifera,Calothrix,Persea americana,,,,,,,,brassicae
coconut,naran,Cocos,coconut,Carteria,Persea,,,,,,,,Alternaria
lius,seedy,nucifera,lius,Cerataulina,Lauraceae,,,,,,,,brassicicola
niyog,tangerine,coconut,niyog,Ceratium,Laurel,,,,,,,,Alternaria
nizok,Coccolba,lius,nizok,Chaetophora,Banana,,,,,,,,carthami
Cocos,uvifera,niyog,Cocos,Chamaesiphon,Musa,,,,,,,,Alternaria
nucifera,grape,nizok,nucifera,Chara,Musa,,,,,,,,cucumerina
dwarf,Cocos,Cocos,dwarf,Characium,Musaceae,,,,,,,,Alternaria
coconut,nucifera,nucifera,coconut,Chlamydomonas,Banana,,,,,,,,dauci
lius,coconut,dwarf,lius,Chlorella - like unicells,Bearberry,,,,,,,,Alternaria
niyog,lius,coconut,niyog,Chlorogonium,Arctostaphylos uvaursi,,,,,,,,destruens
nizok,niyog,lius,nizok,Chodatella,Arctostaphylos,,,,,,,,Alternaria
Codium,nizok,niyog,Codium,Chroococcus,Ericaceae,,,,,,,,helianthi
variegatum,Cocos,nizok,variegatum,Chroodactylon,Heath,,,,,,,,Alternaria
croton,nucifera,Codium,croton,Chrysocapsa,Bilberry,,,,,,,,macrospora
Coix,dwarf,variegatum,Coix,Cladophora glomerata,Vaccinium myrtillus,,,,,,,,Alternaria
lachryma,coconut,croton,lachryma,Closteriopsis,Vaccinium,,,,,,,,palandui
jobs,lius,Coix,jobs,Closterium,Ericaceae,,,,,,,,Alternaria
tears,niyog,lachryma,tears,Coccomyxa/Pseudococcomyxa,Heath,,,,,,,,porri
Cordia,nizok,jobs,Cordia,Cocconeis placentula,Blackberry,,,,,,,,Alternaria
subcordata,Codium,tears,subcordata,Coelastrum,Rubus,,,,,,,,solani
niyoron,variegatum,Cordia,niyoron,Coleochaete,Rubus,,,,,,,,Alternaria
tauanave,croton,subcordata,tauanave,Coleodesmium,Rosaceae,,,,,,,,tenuissima
galu,Coix,niyoron,galu,Compsopogon,Rose,,,,,,,,Alternaria
kalau,lachryma,tauanave,kalau,Cosmarium,Blackcurrant,,,,,,,,tomatophila
ikoik,jobs,galu,ikoik,Craticula,Ribes nigrum,,,,,,,,Alternaria
ikoak,tears,kalau,ikoak,Cryptomonas,Ribes,,,,,,,,triticina
anau,Cordia,ikoik,anau,Cyanothece,Saxifragaceae,,,,,,,,Alternaria
Cordyline,subcordata,ikoak,Cordyline,Cyclotella cf stelligera,Saxifrage,,,,,,,,zinniae
fruticosa,niyoron,anau,fruticosa,Cylindrocystis,Blueberry,,,,,,,,Ampelomyces
Crotalaria,tauanave,Cordyline,Crotalaria,Cymbella,Cyanococcus,,,,,,,,quisqualis
juncea,galu,fruticosa,juncea,Desmidium,Vaccinium,,,,,,,,Amylostereum
Tropic,kalau,Crotalaria,Tropic,Desmodesmus,Ericaceae,,,,,,,,chailletii
sunn,ikoik,juncea,sunn,Diacanthos,Heath,,,,,,,,Anisogramma
hemp,ikoak,Tropic,hemp,Diatoma,Boysenberry,,,,,,,,anomala
Croton,anau,sunn,Croton,Dichothrix ,Rubus ursinus,,,,,,,,Anthracoidea
reflexifolius,Cordyline,hemp,reflexifolius,Dictyosphaerium,Rubus idaeus,,,,,,,,caricis
colpachi,fruticosa,Croton,colpachi,Didymosphenia,Rubus,,,,,,,,Antrodia
croton,Crotalaria,reflexifolius,croton,Dimorphococcus,Rosaceae,,,,,,,,heteromorpha
Cryptomaria,juncea,colpachi,Cryptomaria,Dinobryon,Rose,,,,,,,,Antrodia
japonica,Tropic,croton,japonica,Diploneis cf elliptica,Breadfruit,,,,,,,,juniperina
Japanese,sunn,Cryptomaria,Japanese,Draparnaldia,Artocarpus altilis,,,,,,,,Antrodia
sugi,hemp,japonica,sugi,Elliptochloris,Artocarpus,,,,,,,,serialis
pine,Croton,Japanese,pine,Encyonema,Moraceae,,,,,,,,Aphanomyces
Cunninghamia,reflexifolius,sugi,Cunninghamia,Eolimna,Mulberry,,,,,,,,cochlioides
lanceolata,colpachi,pine,lanceolata,Epithemia,Camucamu,,,,,,,,Aphanomyces
Chinese,croton,Cunninghamia,Chinese,Euastrum,Myrciaria dubia,,,,,,,,euteiches
Cupressus,Cryptomaria,lanceolata,Cupressus,Eudorina,Myrciaria,,,,,,,,Aphanomyces
lusitanica,japonica,Chinese,lusitanica,Euglena,Myrtaceae,,,,,,,,euteiches
Portuguese,Japanese,Cupressus,Portuguese,Eunotia,Myrtle,,,,,,,,raphani
Mexican,sugi,lusitanica,Mexican,Fistulifera,Cantaloupe,,,,,,,,Apiognomonia
cypress,pine,Portuguese,cypress,Fragilaria,Muskmelon,,,,,,,,errabunda
Cupressus,Cunninghamia,Mexican,Cupressus,Frustulia,Cucumis melo,,,,,,,,Apiognomonia
macrocarpa,lanceolata,cypress,macrocarpa,Gloeocapsa, variety ,,,,,,,,quercina
California,Chinese,Cupressus,California,Gloeotrichia,cantalupensis,,,,,,,,Apiognomonia
cypress,Cupressus,macrocarpa,cypress,Golenkinia,Cucumis,,,,,,,,veneta
Cupressus,lusitanica,California,Cupressus,Gomphoneis,Cucurbitaceae,,,,,,,,Apiosporina
sempervirons,Portuguese,cypress,sempervirons,Gomphonema,Gourd,,,,,,,,morbosa
Italian,Mexican,Cupressus,Italian,Gymnodinium,Cape gooseberry,,,,,,,,Armillaria
cypress,cypress,sempervirons,cypress,Gyrosigma,Physalis peruviana,,,,,,,,calvescens
Cymbopogon,Cupressus,Italian,Cymbopogon,Haematococcus,Solanaceae,,,,,,,,Armillaria
citratus,macrocarpa,cypress,citratus,Hantzschia,Nightshade,,,,,,,,cepistipes
lemongrass,California,Cymbopogon,lemongrass,Homoeothrix,Nightshade,,,,,,,,Armillaria
Cynodon,cypress,citratus,Cynodon,Hormoscilla,Caper berry,,,,,,,,gallica
dactylon,Cupressus,lemongrass,dactylon,Hyalotheca,Capparis spinosa,,,,,,,,Armillaria
common,sempervirons,Cynodon,common,Hydrodictyon,Capparis,,,,,,,,gemina
Bermudagrass,Italian,dactylon,Bermudagrass,Interfilum paradoxum,Capparaceae,,,,,,,,Armillaria
Cynodon,cypress,common,Cynodon,Kirchneriella,Caper,,,,,,,,mellea
dactylon,Cymbopogon,Bermudagrass,dactylon,Klebsormidium,Casaba Melon,,,,,,,,Armillaria
giant,citratus,Cynodon,giant,Lyngbya,Cucumis melo,,,,,,,,sinapina
Bermudagrass,lemongrass,dactylon,Bermudagrass,Melosira varians,Cucumis,,,,,,,,Armillaria
Cynodon,Cynodon,giant,Cynodon,Meridion cf circulare,Cucurbitaceae,,,,,,,,solidipes
nlemfuensis,dactylon,Bermudagrass,nlemfuensis,Merismopedia,Gourd,,,,,,,,Armillaria
Florico,common,Cynodon,Florico,Micractinium / Errerella ,Cherry,,,,,,,,tabescens
Puerto,Bermudagrass,nlemfuensis,Puerto,Micrasterias,Wild Cherry,,,,,,,,Arthuriomyces
Rican,Cynodon,Florico,Rican,Microcoleus,Prunus avium,,,,,,,,peckianus
stargrass,dactylon,Puerto,stargrass,Microcystis,sweet cherry,,,,,,,,Articularia
Cyperus,giant,Rican,Cyperus,Microspora,Prunus cerasus,,,,,,,,quercina
javanicus,Bermudagrass,stargrass,javanicus,Microthamnion,sour cherry,,,,,,,,Ascochyta
marsh,Cynodon,Cyperus,marsh,Monostroma,Prunus,,,,,,,,gossypii
cypress,nlemfuensis,javanicus,cypress,Mougeotia,Rosaceae,,,,,,,,Ascochyta
Cyperus,Florico,marsh,Cyperus,Naviculoid diatoms,Rose,,,,,,,,lentis
polystachyos,Puerto,cypress,polystachyos,Nitella,Chinese Gooseberry,,,,,,,,Ascochyta
Dactylis,Rican,Cyperus,Dactylis,Nitzschia,Actinidia deliciosa,,,,,,,,pisi
glomerata,stargrass,polystachyos,glomerata,Nostoc,Actinidia,,,,,,,,Ascochyta
orchardgrass,Cyperus,Dactylis,orchardgrass,Oedogonium,Actinidiaceae,,,,,,,,rabiei
Desmodium,javanicus,glomerata,Desmodium,Oocystis,Kiwi,,,,,,,,Ascochyta
heterophyllum,marsh,orchardgrass,heterophyllum,Oscillatoria,Citron,,,,,,,,sorghi
hetero,cypress,Desmodium,hetero,Pandorina,Citrus medica,,,,,,,,Ascochyta
Desmodium,Cyperus,heterophyllum,Desmodium,Parallela,Citrus,,,,,,,,tritici
intortum,polystachyos,hetero,intortum,Pediastrum,Rutaceae,,,,,,,,Aspergillus
Desmodium,Dactylis,Desmodium,Desmodium,Peridinium,Citrus fruit,,,,,,,,flavus
aparines,glomerata,intortum,aparines,Phacus,Clementine,,,,,,,,Aspergillus
intortum,orchardgrass,Desmodium,intortum,Phormidium,Citrus,,,,,,,,niger
desmodium,Desmodium,aparines,desmodium,Pinnularia,clementina,,,,,,,,Aspergillus
Desmodium,heterophyllum,intortum,Desmodium,Placoma,Citrus,,,,,,,,parasiticus
triflorum,hetero,desmodium,triflorum,Planothidium,Rutaceae,,,,,,,,Aspergillus
threeflower,Desmodium,Desmodium,threeflower,Pleurotaenium,Citrus fruit,,,,,,,,tamarii
beggarweed,intortum,triflorum,beggarweed,Polyedriopsis,Coconut,,,,,,,,Asperisporium
Dichondra,Desmodium,threeflower,Dichondra,Pseudanabaena,Cocos nucifera,,,,,,,,caricae
repens,aparines,beggarweed,repens,Quadrigula,Cocos,,,,,,,,Aureobasidium
dichondra,intortum,Dichondra,dichondra,Iron bacteria (eg Leptothrix),Arecaceae,,,,,,,,apocryptum
Digitaria,desmodium,repens,Digitaria,Rhizoclonium,Arecaceae,,,,,,,,Aureobasidium
eriantha,Desmodium,dichondra,eriantha,Rhoicosphenia cf curvata,Crab apple,,,,,,,,microstictum
Pangola,triflorum,Digitaria,Pangola,Rhopalodia,Malus sylvestris,,,,,,,,Aureobasidium
digitgrass,threeflower,eriantha,digitgrass,Rivularia,Malus,,,,,,,,pullulans
Digitaria,beggarweed,Pangola,Digitaria,Scenedesmus,Rosaceae,,,,,,,,Beauveria
eriantha,Dichondra,digitgrass,eriantha,Schizochlamys,Rose,,,,,,,,bassiana
Transvala,repens,Digitaria,Transvala,Schizothrix,Cranberry,,,,,,,,Bifusella
digitgrass,dichondra,eriantha,digitgrass,Scytonema,Vaccinium,,,,,,,,linearis
Dimorphotheca,Digitaria,Transvala,Dimorphotheca,Selenastrum,Vaccinium,,,,,,,,Bifusella
sinuata,eriantha,digitgrass,sinuata,Sellaphora,Ericaceae,,,,,,,,saccata
cape,Pangola,Dimorphotheca,cape,Sirogonium,Heath,,,,,,,,Bipolaris
marigold,digitgrass,sinuata,marigold,Spirogyra,Crenshaw,,,,,,,,incurvata
Dodonaea,Digitaria,cape,Dodonaea,Spirulina/Arthrospira,Cucumis melo,,,,,,,,Bipolaris
viscosa,eriantha,marigold,viscosa,Spondylosium,Cucumis,,,,,,,,iridis
lampuye,Transvala,Dodonaea,lampuye,Staurastrum,Cucurbitaceae,,,,,,,,Bipolaris
Dracaena,digitgrass,viscosa,Dracaena,Staurodesmus,Gourd,,,,,,,,maydis
fragans,Dimorphotheca,lampuye,fragans,Stauroneis cf anceps,Date,,,,,,,,Bipolaris
dracaena,sinuata,Dracaena,dracaena,Staurosira,Phoenix dactylifera,,,,,,,,sorokiniana
Echinochloa,cape,fragans,Echinochloa,Stichococcus,Phoenix,,,,,,,,Bipolaris
colona,marigold,dracaena,colona,Stigeoclonium,Arecaceae,,,,,,,,spicifera
jungle,Dodonaea,Echinochloa,jungle,Stigonema,Palm,,,,,,,,Bipolaris
rice,viscosa,colona,rice,Surirella,Dewberry,,,,,,,,victoriae
Echinochloa,lampuye,jungle,Echinochloa,Synura,Rubus flagellaris,,,,,,,,Bipolaris
crusgalli,Dracaena,rice,crusgalli,Tabellaria flocculosa,northern dewberry,,,,,,,,zeicola
barnyardgrass,fragans,Echinochloa,barnyardgrass,Tetraedron,Rubus trivialis,,,,,,,,Biscogniauxia
Eleocharis,dracaena,crusgalli,Eleocharis,Tetraspora-like colonies,southern dewberry,,,,,,,,atropunctata
geniculata,Echinochloa,barnyardgrass,geniculata,Tolypothrix,Rubus,,,,,,,,Bjerkandera
spike,colona,Eleocharis,spike,Trachelomonas,Rosaceae,,,,,,,,adusta
rush,jungle,geniculata,rush,Tribonema,Rose,,,,,,,,Blumeria
Eragrostis,rice,spike,Eragrostis,Ulnaria,Dragon fruit,,,,,,,,graminis
variabilis,Echinochloa,rush,variabilis,Ulothrix zonata,Hylocereus undatus,,,,,,,,Blumeria
emoloa,crusgalli,Eragrostis,emoloa,Ulva (ex Enteromorpha),Hylocereus,,,,,,,,jaapii
kawelu,barnyardgrass,variabilis,kawelu,Vaucheria,Cactaceae,,,,,,,,Blumeriella
lovegrass,Eleocharis,emoloa,lovegrass,Volvox,Cactus,,,,,,,,jaapii
Eremochloa,geniculata,kawelu,Eremochloa,Westella-like colonies,Eggplant,,,,,,,,Botryosphaeria
ophiuroides,spike,lovegrass,ophiuroides,Sphaerotilus,Aubergine,,,,,,,,dothidea
centipedegrass,rush,Eremochloa,centipedegrass,Wilmottia,Brinjal,,,,,,,,Botryosphaeria
Erythrina,Eragrostis,ophiuroides,Erythrina,Xanthidium,Solanum melongena,,,,,,,,obtusa
sandwicensis,variabilis,centipedegrass,sandwicensis,Xenococcus,Solanum,,,,,,,,Botryosphaeria
wiliwili,emoloa,Erythrina,wiliwili,Zygnema,Solanaceae,,,,,,,,rhodina
Erythrina,kawelu,sandwicensis,Erythrina,,Nightshade,,,,,,,,Botryosphaeria
variegata,lovegrass,wiliwili,variegata,,Elderberry,,,,,,,,ribis
Tropic,Eremochloa,Erythrina,Tropic,,Sambucus,,,,,,,,Botryosphaeria
Coral,ophiuroides,variegata,Coral,,Sambucus,,,,,,,,stevensii
tall,centipedegrass,Tropic,tall,,Adoxaceae,,,,,,,,Botrytis
erythrina,Erythrina,Coral,erythrina,,Moschatel,,,,,,,,allii
Eucalyptus,sandwicensis,tall,Eucalyptus,,Feijoa,,,,,,,,Botrytis
camaldulensis,wiliwili,erythrina,camaldulensis,,Acca sellowiana,,,,,,,,cinerea
riverredgum,Erythrina,Eucalyptus,riverredgum,,Acca,,,,,,,,Botrytis
eucalyptus,variegata,camaldulensis,eucalyptus,,Myrtaceae,,,,,,,,convoluta
Eucalyptus,Tropic,riverredgum,Eucalyptus,,Myrtle,,,,,,,,Botrytis
dunnii,Coral,eucalyptus,dunnii,,Ficus carica,,,,,,,,elliptica
Dunn,tall,Eucalyptus,Dunn,,Ficus,,,,,,,,Botrytis
eucalyptus,erythrina,dunnii,eucalyptus,,Moraceae,,,,,,,,squamosa
Eucalyptus,Eucalyptus,Dunn,Eucalyptus,,Mulberry,,,,,,,,Botrytis
robusta,camaldulensis,eucalyptus,robusta,,Goji berry,,,,,,,,tulipae
swamp,riverredgum,Eucalyptus,swamp,,Lycium barbarum,,,,,,,,Bremia
mahogany,eucalyptus,robusta,mahogany,,Lycium chinense,,,,,,,,lactucae
Eucalyptus,Eucalyptus,swamp,Eucalyptus,,Solanaceae,,,,,,,,Bretziella
torreliana,dunnii,mahogany,torreliana,,Nightshade,,,,,,,,fagacearum
cadaga,Dunn,Eucalyptus,cadaga,,Nightshade,,,,,,,,Caloscypha
Fagopyrum,eucalyptus,torreliana,Fagopyrum,,Golden berry,,,,,,,,fulgens
esculentum,Eucalyptus,cadaga,esculentum,,Goldenberry,,,,,,,,Camarosporium
buckwheat,robusta,Fagopyrum,buckwheat,,Physalis peruviana,,,,,,,,celtidis
Filicium,swamp,esculentum,Filicium,,Solanaceae,,,,,,,,Cantharellus
decipiens,mahogany,buckwheat,decipiens,,Nightshade,,,,,,,,cibarius
ferntree,Eucalyptus,Filicium,ferntree,,Nightshade,,,,,,,,Capnodium
Fimbristylis,torreliana,decipiens,Fimbristylis,,Gooseberry,,,,,,,,citri
littoralis,cadaga,ferntree,littoralis,,Ribes uvacrispa,,,,,,,,Cenangium
Flueggea,Fagopyrum,Fimbristylis,Flueggea,,Ribes,,,,,,,,alpinum
flexuosa,esculentum,littoralis,flexuosa,,Saxifragaceae,,,,,,,,Cenangium
poumuli,buckwheat,Flueggea,poumuli,,Saxifrage,,,,,,,,ferruginosum
Fragaria,Filicium,flexuosa,Fragaria,,Grape,,,,,,,,Cenangium
chiloensis,decipiens,poumuli,chiloensis,,Vitis vinifera,,,,,,,,singulare
ohelo,ferntree,Fragaria,ohelo,,Vitis,,,,,,,,Cephalosporium
papa,Fimbristylis,chiloensis,papa,,Vitaceae,,,,,,,,gramineum
Gliricidia,littoralis,ohelo,Gliricidia,,Grape,,,,,,,,Ceratobasidium
sepium,Flueggea,papa,sepium,,Grapefruit,,,,,,,,cereale
gliricidia,flexuosa,Gliricidia,gliricidia,,Citrus,,,,,,,,Ceratobasidium
madra,poumuli,sepium,madra,,paradisi,,,,,,,,stevensii
cacao,Fragaria,gliricidia,cacao,,Citrus,,,,,,,,Ceratocystis
Glycine,chiloensis,madra,Glycine,,Rutaceae,,,,,,,,fimbriata
soybean,ohelo,cacao,soybean,,Citrus fruit,,,,,,,,Ceratocystis
Gossypium,papa,Glycine,Gossypium,,Guava,,,,,,,,paradoxa
tomentosum,Gliricidia,soybean,tomentosum,,Psidium guajava,,,,,,,,Cercospora
Hawaiian,sepium,Gossypium,Hawaiian,,Psidium,,,,,,,,apii
cotton,gliricidia,tomentosum,cotton,,Myrtaceae,,,,,,,,Cercospora
Hemarthria,madra,Hawaiian,Hemarthria,,Myrtle,,,,,,,,arachidicola
altissima,cacao,cotton,altissima,,Honeydew Melon,,,,,,,,Cercospora
Bigalta,Glycine,Hemarthria,Bigalta,,Cucumis melo,,,,,,,,asparagi
limpograss,soybean,altissima,limpograss,,Cucumis,,,,,,,,Cercospora
Hemerocallis,Gossypium,Bigalta,Hemerocallis,,Cucurbitaceae,,,,,,,,beticola
aurantiaca,tomentosum,limpograss,aurantiaca,,Gourd,,,,,,,,Cercospora
lily,Hawaiian,Hemerocallis,lily,,Huckleberry,,,,,,,,brassicicola
Hetropogon,cotton,aurantiaca,Hetropogon,,Vaccinium membranaceum,,,,,,,,Cercospora
contortus,Hemarthria,lily,contortus,,Vaccinium,,,,,,,,canescens
piligrass,altissima,Hetropogon,piligrass,,Ericaceae,,,,,,,,Cercospora
tanglehead,Bigalta,contortus,tanglehead,,Heath,,,,,,,,capsici
Hibiscus,limpograss,piligrass,Hibiscus,,Kiwifruit,,,,,,,,Cercospora
arnottianus,Hemerocallis,tanglehead,arnottianus,,Actinidia deliciosa,,,,,,,,carotae
punaluensis,aurantiaca,Hibiscus,punaluensis,,Actinidia,,,,,,,,Cercospora
Oahu,lily,arnottianus,Oahu,,Actinidiaceae,,,,,,,,citrullina
white,Hetropogon,punaluensis,white,,Kiwi,,,,,,,,Cercospora
hibiscus,contortus,Oahu,hibiscus,,Kumquat,,,,,,,,hydrangeae
Hibiscus,piligrass,white,Hibiscus,,Fortunella,,,,,,,,Cercospora
rosasinensis,tanglehead,hibiscus,rosasinensis,,Citrus,,,,,,,,kikuchii
hibiscus,Hibiscus,Hibiscus,hibiscus,,Rutaceae,,,,,,,,Cercospora
Chinese,arnottianus,rosasinensis,Chinese,,Citrus fruit,,,,,,,,longissima
aute,punaluensis,hibiscus,aute,,Lemon,,,,,,,,Cercospora
flores,Oahu,Chinese,flores,,Citrus,,,,,,,,mangiferae
rosa,white,aute,rosa,,limon,,,,,,,,Cercospora
Intsia,hibiscus,flores,Intsia,,Citrus,,,,,,,,medicaginis
bijuga,Hibiscus,rosa,bijuga,,Rutaceae,,,,,,,,Cercospora
ifit,rosasinensis,Intsia,ifit,,Citrus fruit,,,,,,,,melongenae
ifil,hibiscus,bijuga,ifil,,Lime,,,,,,,,Cercospora
ipil,Chinese,ifit,ipil,,Citrus,,,,,,,,muehlenbergiae
ifilele,aute,ifil,ifilele,,aurantiifolia,,,,,,,,Cercospora
dort,flores,ipil,dort,,Citrus,,,,,,,,nicotianae
choyo,rosa,ifilele,choyo,,Rutaceae,,,,,,,,Cercospora
kubok,Intsia,dort,kubok,,Citrus fruit,,,,,,,,rosicola
kuren,bijuga,choyo,kuren,,Loganberry,,,,,,,,Cercospora
Ipomea,ifit,kubok,Ipomea,,Rubus,,,,,,,,seminalis
pescaprae,ifil,kuren,pescaprae,,loganobaccus,,,,,,,,Cercospora
pohuehue,ipil,Ipomea,pohuehue,,Rubus,,,,,,,,sequoiae
beach,ifilele,pescaprae,beach,,Rosaceae,,,,,,,,juniperiCercospora
morning,dort,pohuehue,morning,,Rose,,,,,,,,sojina
glory,choyo,beach,glory,,Loquat,,,,,,,,Cercospora
Ischaemum,kubok,morning,Ischaemum,,Eriobotrya japonica,,,,,,,,sorghi
polystachyum,kuren,glory,polystachyum,,Eriobotrya,,,,,,,,Cercospora
Ischaemum,Ipomea,Ischaemum,Ischaemum,,Rosaceae,,,,,,,,zeae-maydis
digitatum,pescaprae,polystachyum,digitatum,,Rose,,,,,,,,Cercospora
Baron,pohuehue,Ischaemum,Baron,,Lychee,,,,,,,,zebrina
grass,beach,digitatum,grass,,Litchi chinensis,,,,,,,,Cercospora
paddlegrass,morning,Baron,paddlegrass,,Litchi,,,,,,,,zeina
padil,glory,grass,padil,,Sapindaceae,,,,,,,,Cercosporella
Jacquemontia,Ischaemum,paddlegrass,Jacquemontia,,Soapberry,,,,,,,,rubi
ovalifolia,polystachyum,padil,ovalifolia,,Mandarin,,,,,,,,Cercosporidium
subsp,Ischaemum,Jacquemontia,subsp,,Citrus reticulata,,,,,,,,graminis
sandwicensis,digitatum,ovalifolia,sandwicensis,,Citrus,,,,,,,,Cerotelium
uohi,Baron,subsp,uohi,,Rutaceae,,,,,,,,fici
iaka,grass,sandwicensis,iaka,,Citrus fruit,,,,,,,,Cerrena
Juncus,paddlegrass,uohi,Juncus,,Mango,,,,,,,,unicolor
effusus,padil,iaka,effusus,,Mangifera indica,,,,,,,,Choanephora
soft,Jacquemontia,Juncus,soft,,Mangifera,,,,,,,,cucurbitarum
rush,ovalifolia,effusus,rush,,Anacardiaceae,,,,,,,,Chondrostereum
Lablab,subsp,soft,Lablab,,Cashew,,,,,,,,purpureum
purpureus,sandwicensis,rush,purpureus,,Mulberry,,,,,,,,Chrysomyxa
lablab,uohi,Lablab,lablab,,Morus alba,,,,,,,,arctostaphyli
Lippia,iaka,purpureus,Lippia,,white mulberry,,,,,,,,Chrysomyxa
nodiflora,Juncus,lablab,nodiflora,,Morus nigra,,,,,,,,ledicola
lippia,effusus,Lippia,lippia,,black mulberry,,,,,,,,Chrysomyxa
Lolium,soft,nodiflora,Lolium,,Ficus,,,,,,,,pyrolae
multiflorum,rush,lippia,multiflorum,,Moraceae,,,,,,,,Chrysomyxa
annual,Lablab,Lolium,annual,,Mulberry,,,,,,,,weirii
ryegrass,purpureus,multiflorum,ryegrass,,Muscadine grapes,,,,,,,,Ciborinia
Lolium,lablab,annual,Lolium,,Vitis rotundifolia,,,,,,,,camelliae
perenne,Lippia,ryegrass,perenne,,Vitis,,,,,,,,Ciborinia
perennial,nodiflora,Lolium,perennial,,Vitaceae,,,,,,,,foliicola
ryegrass,lippia,perenne,ryegrass,,Grape,,,,,,,,Ciborinia
Lophostemon,Lolium,perennial,Lophostemon,,Muskmelon,,,,,,,,seaveri
confertus,multiflorum,ryegrass,confertus,,Cantaloupe,,,,,,,,Ciborinia
Tristania,annual,Lophostemon,Tristania,,Cucumis melo,,,,,,,,whetzelii
conferta,ryegrass,confertus,conferta,, variety ,,,,,,,,Cladobotryum
brushbox,Lolium,Tristania,brushbox,,cantalupensis,,,,,,,,dendroides
Lotus,perenne,conferta,Lotus,,Cucumis,,,,,,,,Cladosporium
pedunculatus,perennial,brushbox,pedunculatus,,Cucurbitaceae,,,,,,,,allii-cepae
trefoil,ryegrass,Lotus,trefoil,,Gourd,,,,,,,,Cladosporium
Lycium,Lophostemon,pedunculatus,Lycium,,Nectarine,,,,,,,,caryigenum
sandwicense,confertus,trefoil,sandwicense,,Prunus persica variety nucipersica,,,,,,,,Cladosporium
ohelo,Tristania,Lycium,ohelo,,Prunus,,,,,,,,cladosporioides
Magnifera,conferta,sandwicense,Magnifera,,Rosaceae,,,,,,,,Cladosporium
indica,brushbox,ohelo,indica,,Rose,,,,,,,,cucumerinum
mango,Lotus,Magnifera,mango,,Olive,,,,,,,,Cladosporium
kangit,pedunculatus,indica,kangit,,Olea europaea,,,,,,,,herbarum
idele,trefoil,mango,idele,,Olea,,,,,,,,Cladosporium
mago,Lycium,kangit,mago,,Oleaceae,,,,,,,,iridis
mangueira,sandwicense,idele,mangueira,,Olive,,,,,,,,Cladosporium
Medicago,ohelo,mago,Medicago,,Orange,,,,,,,,oxycocci
